Task ID,Storage Interval,Operator ID,Message Length (secs),Start Time,Stop Time,Threshold Method,Duration,Station Name,All Single Channels,Location (lat),Location (lon),Antenna,Polarization
836,15 secs,HP-PC,15,8/12/2016 10:31,8/12/2016 10:36,Noise Riding 10 dB,Fixed: 5 mins,AR1 PATHUM THANI,No,14.070668,100.63418,Vertical Ref,Vertical
,,,,,,,,,,,,,
Band #,Start Frequency (MHz),Stop Frequency (MHz),Bandwidth (kHz),,,,,,,,,,
1,136,174,12.5,,,,,,,,,,
,,,,,,,,,,,,,
Channel No.,Frequency (MHz),Maximum Occupancy (%),Average Occupancy (%),,,,,,,,,,
544,142.7875,36,23,,,,,,,,,,
545,142.8,70,43,,,,,,,,,,
546,142.8125,36,22,,,,,,,,,,
547,142.825,0,0,,,,,,,,,,
548,142.8375,0,0,,,,,,,,,,
549,142.85,0,0,,,,,,,,,,
550,142.8625,0,0,,,,,,,,,,
551,142.875,0,0,,,,,,,,,,
552,142.8875,0,0,,,,,,,,,,
553,142.9,47,2,,,,,,,,,,
554,142.9125,0,0,,,,,,,,,,
555,142.925,0,0,,,,,,,,,,
556,142.9375,0,0,,,,,,,,,,
557,142.95,0,0,,,,,,,,,,
558,142.9625,0,0,,,,,,,,,,
559,142.975,0,0,,,,,,,,,,
560,142.9875,0,0,,,,,,,,,,
561,143,0,0,,,,,,,,,,
562,143.0125,0,0,,,,,,,,,,
563,143.025,0,0,,,,,,,,,,
564,143.0375,0,0,,,,,,,,,,
565,143.05,0,0,,,,,,,,,,
566,143.0625,0,0,,,,,,,,,,
567,143.075,0,0,,,,,,,,,,
568,143.0875,0,0,,,,,,,,,,
569,143.1,0,0,,,,,,,,,,
570,143.1125,0,0,,,,,,,,,,
571,143.125,0,0,,,,,,,,,,
572,143.1375,0,0,,,,,,,,,,
573,143.15,0,0,,,,,,,,,,
574,143.1625,0,0,,,,,,,,,,
575,143.175,0,0,,,,,,,,,,
576,143.1875,0,0,,,,,,,,,,
577,143.2,0,0,,,,,,,,,,
578,143.2125,0,0,,,,,,,,,,
579,143.225,0,0,,,,,,,,,,
580,143.2375,0,0,,,,,,,,,,
581,143.25,0,0,,,,,,,,,,
582,143.2625,0,0,,,,,,,,,,
583,143.275,0,0,,,,,,,,,,
584,143.2875,1,0,,,,,,,,,,
585,143.3,1,0,,,,,,,,,,
586,143.3125,1,0,,,,,,,,,,
587,143.325,1,0,,,,,,,,,,
588,143.3375,1,0,,,,,,,,,,
589,143.35,0,0,,,,,,,,,,
590,143.3625,0,0,,,,,,,,,,
591,143.375,0,0,,,,,,,,,,
592,143.3875,0,0,,,,,,,,,,
593,143.4,0,0,,,,,,,,,,
594,143.4125,0,0,,,,,,,,,,
595,143.425,0,0,,,,,,,,,,
596,143.4375,0,0,,,,,,,,,,
597,143.45,0,0,,,,,,,,,,
598,143.4625,0,0,,,,,,,,,,
599,143.475,5,0,,,,,,,,,,
600,143.4875,1,0,,,,,,,,,,
601,143.5,0,0,,,,,,,,,,
602,143.5125,0,0,,,,,,,,,,
603,143.525,0,0,,,,,,,,,,
604,143.5375,0,0,,,,,,,,,,
